area_code,area_name,region,off_score,off_rank,rank_median,rank_p5,rank_p95,rank_iqr,rank_range_90,fragile
SAU,Saudi Arabia,Middle East and North Africa,58.3528618438,79,76.0,58.0,106.0,22.0,48.0,False
CPV,Cabo Verde,Sub-Saharan Africa,58.3428215111,80,79.0,54.0,98.0,22.0,44.0,False
COL,Colombia,Latin America and the Caribbean,58.0070068459,81,78.0,61.0,108.0,16.0,47.0,False
SUR,Suriname,Latin America and the Caribbean,57.9140996141,82,82.0,59.0,99.0,17.0,40.0,False
BWA,Botswana,Sub-Saharan Africa,57.8317180098,83,81.0,59.0,101.0,18.0,42.0,False
PHL,Philippines,East Asia and Pacific,57.525712376,84,82.0,66.0,103.0,13.0,37.0,False
ECU,Ecuador,Latin America and the Caribbean,57.4237111626,85,84.0,71.0,95.0,9.0,24.0,False
JOR,Jordan,Middle East and North Africa,57.1380725357,86,85.0,66.0,103.0,15.0,37.0,False
STP,São Tomé and Príncipe,Sub-Saharan Africa,57.0862743656,87,86.0,63.0,102.0,18.0,39.0,False
MNG,Mongolia,East Asia and Pacific,57.0677391755,88,86.0,68.0,102.0,15.0,34.0,False
GUY,Guyana,Latin America and the Caribbean,56.9316606304,89,87.0,72.0,99.0,11.0,27.0,False
NAM,Namibia,Sub-Saharan Africa,56.3788210736,90,89.0,66.0,106.0,18.0,40.0,False
LKA,Sri Lanka,Central and South Asia,56.3409106663,91,89.0,77.0,102.0,10.0,25.0,False
AZE,Azerbaijan,Eastern Europe,56.2628481034,92,89.0,72.0,109.0,17.0,37.0,False
BLZ,Belize,Latin America and the Caribbean,55.9136969877,93,93.0,74.0,104.0,12.0,30.0,False
KGZ,Kyrgyzstan,Central and South Asia,55.7460568967,94,92.0,83.0,103.0,9.0,20.0,False
TUR,Turkey,Middle East and North Africa,55.49648177,95,93.0,72.0,120.0,22.0,48.0,False
MAR,Morocco,Middle East and North Africa,55.1928269445,96,95.0,76.0,111.0,15.0,35.0,False
SLV,El Salvador,Latin America and the Caribbean,55.0515774173,97,96.0,87.0,103.0,7.0,16.0,False
GHA,Ghana,Sub-Saharan Africa,54.6637797482,98,99.0,76.0,111.0,15.0,35.0,False
TUN,Tunisia,Middle East and North Africa,54.4575451107,99,98.0,86.0,112.0,11.0,26.0,False
UZB,Uzbekistan,Central and South Asia,53.8008993687,100,101.0,82.0,119.0,14.0,37.0,False
GTM,Guatemala,Latin America and the Caribbean,53.7311788403,101,102.0,90.0,110.0,9.0,20.0,False
SEN,Senegal,Sub-Saharan Africa,53.6769937838,102,102.0,80.0,117.0,15.0,37.0,False
IND,India,Central and South Asia,53.6630982714,103,102.0,82.0,118.0,14.0,36.0,False
CUB,Cuba,Latin America and the Caribbean,53.436969762,104,103.0,80.0,126.0,17.0,46.0,False
HND,Honduras,Latin America and the Caribbean,53.2452184592,105,104.0,91.0,113.0,9.0,22.0,False
BOL,Bolivia,Latin America and the Caribbean,53.1318214284,106,104.0,89.0,115.0,10.0,26.0,False
TKM,Turkmenistan,Central and South Asia,52.3823058967,107,107.0,82.0,137.0,19.0,55.0,False
KEN,Kenya,Sub-Saharan Africa,52.2499939662,108,107.0,92.0,123.0,11.0,31.0,False
DZA,Algeria,Middle East and North Africa,52.1264245078,109,109.0,92.0,126.0,12.0,34.0,False
NPL,Nepal,Central and South Asia,51.5687966826,110,110.0,97.0,119.0,8.0,22.0,False
RWA,Rwanda,Sub-Saharan Africa,51.5572321739,111,111.0,88.0,127.0,14.0,39.0,False
LBN,Lebanon,Middle East and North Africa,51.3827133845,112,111.0,96.0,133.0,13.0,37.0,False
TJK,Tajikistan,Central and South Asia,51.201596956,113,112.0,97.0,129.0,10.0,32.0,False
NIC,Nicaragua,Latin America and the Caribbean,50.2161512166,114,115.0,105.0,128.0,8.0,23.0,False
LAO,Laos,East Asia and Pacific,50.1836389228,115,115.0,100.0,135.0,10.0,35.0,False
GMB,The Gambia,Sub-Saharan Africa,50.10003694,116,115.0,100.0,127.0,12.0,27.0,False
TZA,Tanzania,Sub-Saharan Africa,49.1961934722,117,119.0,109.0,127.0,7.0,18.0,False
KHM,Cambodia,East Asia and Pacific,49.1886353069,118,119.0,107.0,136.0,11.0,29.0,False
GAB,Gabon,Sub-Saharan Africa,48.8417377589,119,120.0,112.0,130.0,9.0,18.0,False
CIV,Côte d'Ivoire,Sub-Saharan Africa,48.5916822129,120,122.0,110.0,132.0,9.0,22.0,False
EGY,Egypt,Middle East and North Africa,48.5669508674,121,121.0,106.0,147.0,18.0,41.0,False
DJI,Djibouti,Sub-Saharan Africa,48.4666069082,122,122.0,114.0,135.0,8.0,21.0,False
BEN,Benin,Sub-Saharan Africa,48.2159510026,123,124.0,104.0,140.0,14.0,36.0,False
BGD,Bangladesh,Central and South Asia,47.8675556402,124,124.0,116.0,138.0,9.0,22.0,False
MWI,Malawi,Sub-Saharan Africa,47.8265701494,125,125.0,105.0,142.0,15.0,37.0,False
IRN,Iran,Middle East and North Africa,47.7083926936,126,125.0,105.0,152.0,22.0,47.0,False
ZMB,Zambia,Sub-Saharan Africa,47.1413887368,127,127.0,114.0,140.0,10.0,26.0,False
COM,Comoros,Sub-Saharan Africa,46.9323906574,128,129.0,112.0,142.0,11.0,30.0,False
UGA,Uganda,Sub-Saharan Africa,46.8319502378,129,129.0,118.0,138.0,8.0,20.0,False
PNG,Papua New Guinea,East Asia and Pacific,46.6400203213,130,130.0,108.0,144.0,13.0,36.0,False
GNQ,Equatorial Guinea,Sub-Saharan Africa,46.5882503955,131,130.0,117.0,146.0,13.0,29.0,False
LSO,Lesotho,Sub-Saharan Africa,45.6211816459,132,134.0,116.0,152.0,13.0,36.0,False
TGO,Togo,Sub-Saharan Africa,45.5168088069,133,135.0,127.0,143.0,7.0,16.0,False
SWZ,Eswatini,Sub-Saharan Africa,45.364668553,134,135.0,125.0,151.0,12.0,26.0,False
BFA,Burkina Faso,Sub-Saharan Africa,45.1241623165,135,137.0,114.0,149.0,14.0,35.0,False
